dependency,version
@cdc/chart,^4.26.2
@cdc/core,^4.26.2
@cdc/dashboard,^4.26.2
@cdc/data-bite,^4.26.2
@cdc/filtered-text,^4.26.2
@cdc/map,^4.26.2
@cdc/markup-include,^4.26.2
@cdc/waffle-chart,^4.26.2
@googlemaps/markerclusterer,^2.5.3
@hello-pangea/dnd,^16.2.0
@react-google-maps/api,^2.20.8
@react-spring/web,^9.7.5
@rollup/plugin-dsv,^3.0.2
@types/d3-sankey,^0.12.5
@visx/annotation,^3.12.0
@visx/axis,^3.12.0
@visx/brush,^3.12.0
@visx/curve,^3.12.0
@visx/drag,^3.12.0
@visx/event,^3.12.0
@visx/geo,^3.12.0
@visx/glyph,^3.12.0
@visx/gradient,^3.12.0
@visx/legend,^3.12.0
@visx/marker,^3.12.0
@visx/mock-data,^3.12.0
@visx/pattern,^3.12.0
@visx/responsive,^3.12.0
@visx/scale,^3.12.0
@visx/shape,^3.12.0
@visx/stats,^3.12.0
@visx/text,^3.12.0
@visx/tooltip,^3.12.0
@vitejs/plugin-react,^5.1.2
axios,^1.13.2
chroma-js,^3.1.2
d3,^7.9.0
d3-array,^3.2.4
d3-composite-projections,^1.4.0
d3-format,^3.1.2
d3-geo,^3.1.1
d3-sankey,^0.12.3
d3-scale,^4.0.2
d3-selection,^3.0.0
d3-time-format,^4.1.0
d3-zoom,^3.0.0
dompurify,^3.3.1
html-react-parser,^5.2.3
html2canvas,^1.4.1
js-base64,^2.5.2
json-edit-react,^1.27.0
leaflet,^1.9.4
lodash,^4.17.23
lodash.debounce,^4.0.8
papaparse,^5.5.2
prop-types,^15.8.1
react-accessible-accordion,^5.0.1
react-dnd,^16.0.1
react-dnd-html5-backend,^16.0.1
react-dropzone,^14.3.8
react-icons,^5.5.0
react-select,^5.3.1
react-table,^7.8.0
react-tooltip,5.8.2-beta.3
resize-observer-polyfill,^1.5.1
sass,^1.89.2
topojson-client,^3.1.0
use-debounce,^10.1.0
vega,^6.1.0
vega-lite,^6.1.0
vite,^7.3.1
vite-plugin-css-injected-by-js,^2.4.0
vite-plugin-svgr,^4.2.0
whatwg-fetch,^3.6.20
